TABNAME	TCODE	LIFNR	MATNR	ZZMAKER	ZZJSQI	ZZKUBUN	ZZJAPAN	ZZRM_ORIGIN	ZZCATEGORY	ZZPACKING_TYPE	ZZPACKING_SIZE	ZZPACKING_UNIT	ZZINCI_NAME
	ME12	C000002	91100519101	AJINOMOTO CO., INC.	Y	4	05191	CN	Actives	DRUM	25	KG	GLUTAMIC ACID
	ME12	C000002	91100924700	MITSUBISHI CHEMICAL CORPORATION	Y	4	09247	JP	Surfactant	BAG	20	KG	POLYVINYL ALCOHOL
	ME12	C000002	91100699300	Merck Ltd.	Y	4	06993	IN	Surfactant	BOX	25	KG	3,4-diaminobenzenesulfonic acid/Benzaldehyde/Sodium pyrosulfite
	ME12	C000002	91100431600	FUJI TALC INDUSTRY CO., LTD	Y	4	04316	JP	Powders	BAG	15	KG	Talc
	ME12	C000002	91100945100	3V SIGMA S.p.A.	Y	4	09451	US	Polymers	CAN	20	KG	CARBOMER
	ME12	C000002	91100391301	TOHO CHEMICAL INDUSTRY CO.,LTD	Y	4	03913	JP	Surfactant	DRUM	220	KG	Lauric acid/Aminoethylethanolamine/Monochloroacetic acid
	ME12	C000002	91100147600	Momentive Performance Materials Japan LLC	N	4	01476	JP	Silicones	CAN	15	KG	Silicone Emulsion
	ME12	C000002	91100511200	SHIKOKU CHEMICALS CORPORATION	Y	4	05112	JP	Actives	BAG	20	KG	SODIUM SULFATE
	ME12	C000002	91101391200	TOHO CHEMICAL INDUSTRY CO.,LTD	Y	4	13912	JP	Surfactant	BAG	20	KG	Guar Hydroxypropyltrimonium Chloride
	ME12	C000002	91100394300	TOHO CHEMICAL INDUSTRY CO.,LTD	N	4	03943	JP	Surfactant	BAG	20	KG	Guar Hydroxypropyltrimonium Chloride
	ME12	C000002	91100365500	TOHO CHEMICAL INDUSTRY CO.,LTD	Y	4	03655	JP	Surfactant	DRUM	200	KG	Sodium Laureth Sulfate
	ME12	C000002	91100237300	NIPPON SURFACTANT INDUSTRIES CO., LTD	Y	4	02373	JP	Surfactant	CAN	14	KG	Squalane
	ME12	C000002	91101662101	TECHNOBLE CO.,LTD	Y	4	16621	JP	Actives	BOTTLE	1	KG	HYDROLYZED RICE EXTRACT
	ME12	C000002	91100537300	MANAC Incorporated	Y	4	05373	JP	Actives	BAG	25	KG	POTASSIUM CHLORIDE
	ME12	C000002	91103300101	MP GOKYO FOOD & CHEMICAL 	Y	4	33001	JP	Polymers	BAG	20	KG	Rhamsan Gum
	ME12	C000002	91100224100	Cargill	Y	4	02241	US	Wax & Oils	BUCKET	10	KG	Jojoba Esters
